,,,,subtopic extraction,,poc,,
What+evidence,factual,What theoretical evidence exists regarding SRI investing motivating changes in firm social and environmental behavior?,Theoretical evidence suggests that Social Responsible Investing SRI investing may motivate changes in firm social and environmental behavior,green finance,externalities' 'externalities' 'sustainable',green finance,Sustainable Investing' 'Behavioral Externalities' 'Sustainable Cities',
What+Study,factual,What type of literature does this study relate to?,This study relates to the literature on the financial impact of firm social/ environmental responsibility,green finance,externalities' 'externalities',green finance,Sustainable Investing' 'Behavioral Externalities',
Who,factual,"Who are SRI mutual funds, and why are they being focused on?","SRI mutual funds are mutual funds with explicit environmental screening criteria, and they are being focused on as a specific channel for identifying the impact of investments on firm cost of equity capital",green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
How+research,factual,How does this research address industry heterogeneity when looking at SRI investing effects?,This research takes into account potential heterogeneity in the effect of SRI investing across industries by addressing the industry heterogeneity of the effect of SRI screening during their analysis process,green finance,externalities',green finance,Sustainable Investing',
Why+study+because,factual,Why do many other studies look for an overall relation between firm environmental performance and cost of equity capital?,Many other studies look for an overall relation between firm environmental performance and cost of equity capital because it provides insights into how companies' decisions may affect their stock prices or valuations over time,green finance,externalities' 'gdp' 'externalities' 'emissions' 'sustainable' 'costing',green finance,"Sustainable Investing' 'Macroeconomic Indicators'
 'Behavioral Externalities' 'Environmental Sustainability'
 'Sustainable Cities' 'Cost Analysis'",
What+purpose+demonstrate,factual,What is the primary purpose of Heinkel et al's 2001 theoretical framework?,The primary purpose of Heinkel et al's 2001 theoretical framework is to demonstrate the price effect of SRI investing,green finance,,green finance,,
What+factors,analysis,What factors affect the number of polluting firms that choose to reform?,"The number of polluting firms that choose to reform is affected by the cost of reform, risk tolerance of investors, and the number of clean firms in the economy",green finance,externalities' 'emissions',green finance,Sustainable Investing' 'Environmental Sustainability',
How+impact,analysis,How does an increase in SRI investors in an economy impact polluting firms share prices?,"An increase in SRI investors in an economy lowers demand for shares from polluting firms, which reduces their share prices and increases their cost or equity capital",green finance,externalities' 'emissions' 'gdp',green finance,"Sustainable Investing' 'Environmental Sustainability'
 'Macroeconomic Indicators'",
According+theory,taxonomy,What incentives are there for improving environmental performance?,"According to Heinkel's theory when the price effect of SRI screening is large enough, there is incentive for companies to improve environmental performance as a means comply with SRI criteria",green finance,"externalities' 'externalities' 'sustainable' 'carbon' 'emissions'
 'renewables' 'ecology'",green finance,"Sustainable Investing' 'Behavioral Externalities' 'Sustainable Cities'
 'Climate Policy' 'Environmental Sustainability' 'Clean Energy'
 'Eco-diversity'",
what is happening,factual,What is happening in reality with regards to SRI investing that is compromising the effect of SRI investment on firm environmental behavior?,"Neutral investors who do not value firm ESG performance are perceiving the screening variability among SRI investors as a form of noise trading, which complicates the price effect of SRI screening",green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
Comply,ethic and reg,What cost does an industry face when attempting to comply with SRI screening criteria?,The cost of technology reform in order to comply with SRI screening varies; industries that are relatively more polluting overall face a higher cost than cleaner industries,green finance,externalities' 'emissions' 'carbon',green finance,Sustainable Investing' 'Environmental Sustainability' 'Climate Policy',
complying,ethic and reg,How may we expect the fraction of firms complying to and its consequent price effect from SRI investment vary across industries?,"We can expect in equilibrium, for this fraction and price effect from compliance with these criteria will vary across industries",green finance,externalities' 'emissions',green finance,Sustainable Investing' 'Environmental Sustainability',
How+demonstrated,factual,How does heterogeneity in investor preference affect the risk-sharing opportunities associated with Corporate Social Responsibility CSR behaviour?,Heterogeneity in investor preference reduces risk sharing impact on CSR behavior demonstrated by Heinkel et al 2001,green finance,externalities' 'externalities',green finance,Sustainable Investing' 'Behavioral Externalities',
How,Strategy,How does a firm's environmental behaviour depend on its industry characteristics?,A firms environmental behavior may be more beneficial or less costly for them in certain industries than others and could be used as a product differentiation strategy to attract socially responsible customers,green finance,externalities' 'externalities' 'sustainable' 'ecology',green finance,"Sustainable Investing' 'Behavioral Externalities' 'Sustainable Cities'
 'Eco-diversity'",
What factors +determine,analysis,What factors determine if a firm is eligible for SRI investments?,"A firm may self-select into being eligible for SRI based on an array of intrinsic and extrinsic factors such as industry characteristics, geographic region, customer preferences and financial resources",green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
socially responsible,ethic and reg,How firms compete with each other over socially responsible consumers?,The level of environmental and social responsibility provided by a firm depends on the market competitiveness of an industry,green finance,externalities',green finance,Sustainable Investing',
How can,strategy,How can stakeholder influence capacity play a role in determining the financial outcomes of CSR activities?,"firm achieves the financial outcomes of CSR activities through its ability to use CSR to improve stakeholder relationships These relationships could be dynamic in light of, for example, the intensity of media scrutiny which changes over time",green finance,externalities' 'externalities',green finance,Sustainable Investing' 'Behavioral Externalities',
What+evidence,factual,What evidence does Henisz et al 2014 provide about how stakeholders events can influence firm eligibility for SRI investments?,"By studying events conflicts and cooperation with stakeholders of public firms in gold mining, Henisz et al 2014 find that greater stakeholder support leads to higher firm valuation If some these events concern environmental compliance then we faced with selection bias as firms that are eligible for SRI investment are those faced with less stringent environmental regulations",green finance,"externalities' 'externalities' 'ecology' 'carbon' 'emissions'
 'sustainable'",green finance,"Sustainable Investing' 'Behavioral Externalities' 'Eco-diversity'
 'Climate Policy' 'Environmental Sustainability' 'Sustainable Cities'",
No,factual,Is an industry fixed effect sufficient enought o identify the effect pf SRI investments?,"No, since level shareholder cooperation is dynamic an industry fixed effect may not be sufficient enough to identify the effectpf SRI investment",green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
What+motivation,strategy,What is the main motivation behind using the ratio of independent directors over total number of directors as an instrumental variable?,"The main motivation behind this instrument is twofold First, external factors may influence firm behavior towards the environment through board composition; and secondly, non-affiliated independent directors are more likely to address stakeholder interests than those who are affiliated with the firm",green finance,externalities' 'ecology' 'externalities',green finance,Sustainable Investing' 'Eco-diversity' 'Behavioral Externalities',
Are+tehre+studies,factual,Are there any studies which confirm a significant correlation between board independence and financial performance?,"Several studies that examine this relation do not find evidence of a significant correlation between board independence and financial performance, including cost of equity capital",green finance,externalities',green finance,Sustainable Investing',
socially responsible,ethic and reg,How do socially responsible activities influence firm financial performance?,"Certain socially responsible activities that are purely altruistic or out of the managers personal benefits, do not substantially contribute to improve stakeholder relationships and therefore do not improve firm financial performance",green finance,externalities' 'externalities',green finance,Sustainable Investing' 'Behavioral Externalities',
What+type+problems,strategy,What type of agency problems may arise from these types of activities?,Agency problems may arise due to these activities since they benefit the manager or society rather than shareholders,green finance,externalities',green finance,Sustainable Investing',
What+evidence,factual,What evidence points to independent directors being able to mitigate agency problems associated with firm environmental behaviors?,Byrd & Hickman 1992 provide evidence that independent directors can monitor management decisions on behalf of shareholders and thereby mitigate agency problems associated with firm environmental behaviors,green finance,externalities' 'externalities' 'ecology',green finance,Sustainable Investing' 'Behavioral Externalities' 'Eco-diversity',
How+motivation+studies,factual,How does the motivation for undertaking environmentally responsible activities and their associated costs and benefits vary across industries?,"Studies have indicated that the motivation for undertaking environmentally responsible activities and the costs and benefits of such activities vary across industries, as factors such as industry environmental performance and closeness to final consumers can play a role in determining financial outcomes",green finance,externalities' 'externalities' 'sustainable',green finance,Sustainable Investing' 'Behavioral Externalities' 'Sustainable Cities',
What+examples +issues,factual,What are some examples of industries where SRI fund managers' engagement with firm environmental and governance issues is concentrated?,"Examples of industries where SRI fund managers engagement with firm environmental and governance issues is especially focused include manufacturing, advertising-intensive, primary product production, intermediary services/goods production, retail trade goods/services sectors, financial services sectors, automotive manufacturing sector etc",green finance,externalities',green finance,Sustainable Investing',
What+data+measure,analysis,What data is used to measure an industry's environmental characteristics?,Data from MSCI ESG STATS dataset previously KLD STATS is used to measure an industry's environment characteristics relative to environmental strength within a given sector,green finance,sustainable',green finance,Sustainable Cities',
How,strategy,How do Fama-French 48 industries help in determining interactions between SRI investment and various industrial characteristics?,"Fama-French 48 Industries are used to group firms and construct indices which describe relations between SRI investments, diversity, environment performance and closeness to final consumers within various sectors or industries in order to determine interactions betwee these factors across different sectors or industries",green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
percentage,analysis,What percentage of SRI investment is composed of investments from SRI mutual funds?,29 percent,green finance,externalities',green finance,Sustainable Investing',
How+determined,strategy,How is the market value of SRI investment over time determined?,It is determined by summing over the investments from each mutual fund measured by positions held,green finance,externalities',green finance,Sustainable Investing',
"1,434",analysis,How many firm-year observations are included in the sample?,"There are 1,434 SRI firms, 224 nonSRI firms, 982SRI firms and 340 Other firms for a total of 2,980 firm-year observations",green finance,externalities',green finance,Sustainable Investing',
What kind of,factual,What kind of investors can access the equity funds that compose a considerable amount of all SRI investment?,Both individual and institutional investors can access them,green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
What approach+calculate,analysis,What ex-ante approach can be followed to calculate the cost of equity capital?,"The ex-ante approach in Gebhardt et al 2001, in which the implied cost of equity capital of a firm is the internal rate of return that equates the current stock price to the present value of all expected future free cash flows to equity ie dividends based on all information available at time t",green finance,costing' 'gdp' 'externalities',green finance,Cost Analysis' 'Macroeconomic Indicators' 'Sustainable Investing',
How +influence,strategy,How might reduction in cost of equity capital influence firm financial performance?,"Reduction in cost of equity capital may have a positive impact on firm financial performance, as demonstrated by two examples provided in the Appendix",green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
How+affect,analysis,How does past return affect a firm's eligibility for SRI investment?,Past return has a negative effect on a firms eligibility for SRI investment; this may be due to screening strategies of SRI funds which emphasize ESG performance over near-term financial performance,green finance,externalities' 'externalities',green finance,Sustainable Investing' 'Behavioral Externalities',
What kind + models,analysis,What kind of models were used to estimate average treatment effect of SRI investments?,Correlated random effects probit models were used to estimate the average treatment effect of SRI investments,green finance,externalities' 'costing',green finance,Sustainable Investing' 'Cost Analysis',
53,analysis,How does SRI investing affect the cost of equity capital for a firm?,"Accounting for agency problems and external pressure in firm environmental behavior, firms that receive SRI investment on average benefit from an reduction of 053 to 057 percent in the cost of equity capital",green finance,externalities' 'gdp' 'costing' 'emissions',green finance,"Sustainable Investing' 'Macroeconomic Indicators' 'Cost Analysis'
 'Environmental Sustainability'",
What+benefits,Strategy,What are the potential benefits to a firm if they engage in social and environmental responsibility?,The potential benefits to a firm engaging in social and environmental responsibility include enhanced shareholder value as well as aligning long-term environmental goals with goal of shareholder value maximization,green finance,externalities' 'sustainable' 'externalities',green finance,Sustainable Investing' 'Sustainable Cities' 'Behavioral Externalities',
What+benefit,strategy,What is the financial benefit for firms investing in SRI?,The achievement of financial benefits from environmentally responsible activities depends on effective corporate governance so that there is alignment between long-term goals and those receiving shareholders' value maximization,green finance,externalities' 'gdp' 'sustainable',green finance,Sustainable Investing' 'Macroeconomic Indicators' 'Sustainable Cities',
How+consider,strategy,How do investors consider ESG performance when determining overall company valuation?,Investors consider ESG performance holistically when determining overall company valuation rather than valuing individual aspects seperately,green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
What +approach,management,What is the control function approach used to correct for endogenous SRI investment?,"The control function approach uses a linear probability model with both instrumental variables, the ratio of independent directors and Sierra Club membership, then includes the error term from this model in the second stage estimation",green finance,costing',green finance,Cost Analysis',
How +affect,analysis,How does receiving SRI investment affect the cost of equity capital one standard deviation above mean value in terms of environmental concern?,Receiving SRI investment has a positive and significant effect on the cost of equity capital one standard deviation above mean value in terms of environmental concern by 025 percent,green finance,externalities' 'gdp' 'costing',green finance,Sustainable Investing' 'Macroeconomic Indicators' 'Cost Analysis',
what happens,strategy,"When a firm receives SRI investment within an industry group with number of subgroups one standard deviation higher than mean value, what happens to its cost of equity capital?",Receiving SRi Investment increases the cost of equity capital by 013 percent when within an industry group with number or subgroup one standard deviation higher than mean value,green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
No,factual,Does receiving SRI investment significantly reduce firm cost of equity capital?,"On average, no However, the effect depends on firm interactions with stakeholders and firm governance",green finance,externalities',green finance,Sustainable Investing',
What can,strategy,What can mask the significant effect of SRI on firm cost of equity capital?,The absence of addressing endogeneity of firm eligibility for SRI investment can mask the significant effect,green finance,externalities' 'gdp',green finance,Sustainable Investing' 'Macroeconomic Indicators',
How +study,factual,How does this study contribute to understanding long-term relationship between financial performance and environmental performance?,This study addresses when and where does it pay to be green instead of an overall answer towhether it pays to be green,green finance,externalities' 'externalities' 'sustainable',green finance,Sustainable Investing' 'Behavioral Externalities' 'Sustainable Cities',
Policy makers,ethic and reg,What are some implications for policy makers based on this research findings?,Policy makers can leverage the incentives from financial markets through encouraging self-regulation regarding environmental activities,green finance,externalities' 'externalities',green finance,Sustainable Investing' 'Behavioral Externalities',
what+findings +indicate,factual,What implications do these findings hold in terms of financial outcomes and incentives for firms to self-regulate?,"These findings indicate that the ability of a firm to maintain sound relationships with its stakeholders, manage agency problems, and engage in environmentally responsible activities can lead to lower costs of equity capital and provide an incentive for environmental self-regulation Additionally, SRI investors may be able to discern agency problems associated with certain firm environmental activities which could potentially generate greater reduction in the cost of equity capital",green finance,externalities' 'externalities' 'sustainable' 'gdp' 'emissions',green finance,"Sustainable Investing' 'Behavioral Externalities' 'Sustainable Cities'
 'Macroeconomic Indicators' 'Environmental Sustainability'",
How +motivate,strategy,How can SRI investing better motivate firm environmental self-regulation?,"The screening criteria of SRI investors based upon single aspects of ESG performance such as only examining a firm's environmental performance may not be sufficient on its own; instead, additional criteria related to corporate governance should also be incorporated into the analysis when determining if a company is meeting compliance standards needed by social responsibility investors in order for them too incentivize improved corporate sustainability practices ",green finance,externalities' 'sustainable' 'gdp' 'externalities',green finance,"Sustainable Investing' 'Sustainable Cities' 'Macroeconomic Indicators'
 'Behavioral Externalities'",
Can+help,strategy,Can aligning financial goals and external stakeholder pressures within firms help reduce their cost of equity capital?,"Yes, our research indicates that there is potential for aligning both financial goals and external stakeholder pressures within firms thus leading to reduced costs associated",green finance,externalities',green finance,Sustainable Investing',
What+has been,factual,What has been the nature of growth of Voluntary Carbon Market VCM in recent years?,"The growth of VCM has been rapid in recent year; however, it has been marred by concerns about the integrity of carbon credits available in the VCM 1",green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
Paris Agreement,ethic and reg,How is double counting addressed under Paris Agreement?,aris Agreement expressly prohibits double counting and requires countries to make corresponding adjustments to ensure this is not avoided,green finance,,green finance,,
meant by,taxonomies,What is meant by Double Claiming?,Double claiming occurs when a country and private purchaser both claim the same emission reduction or removal for their own use/purposes,green finance,,green finance,,
COP27,ethic and reg,How does decision taken at COP27 attempt to address issue of double claming?,The decision taken at COP27 defines carbon credits that are not authorized for use towards NDCs asmitigation contribution credits which seeks to address issue of double claiming particularly In the context of Voluntary Carbon Markets VCM,green finance,carbon' 'blockchains',green finance,Climate Policy' 'Cyber Security',
VCM,ethic and reg,What is the purpose of the VCM?,"The purpose of the VCM is to enable companies to support decarbonisation beyond their own carbon footprint, thus accelerating the broader transition to a lower-carbon future and helping to finance carbon reduction and removal projects",green finance,carbon' 'emissions' 'renewables' 'vehicles',green finance,"Climate Policy' 'Environmental Sustainability' 'Clean Energy'
 'Automotive Industry'",
Articles,ethic and reg,What are some decisions that have been made regarding Articles 62 and 64 at COP26 2021?,"Decisions on Article 62 and article 64 were made at COP26 2021 with regards to how cooperative approaches should be applied, while COP27 2020 in Sharm El Sheikh Egypt sought build upon these decisions but did not clearly deal with relationships between existing VMC arrangements and those established by the Paris agreement",green finance,,green finance,,
15 times,analysis,What is estimated for potential demand for carbon credits by 2030?,It is estimated that demand for carbon credits could increase by 15 times its current size by 2030 as an increasing number of companies pursue efforts to decarbonise,green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
regulated,ethic and reg,What are regulated or compliance carbon markets?,Regulated or compliance carbon markets tend operate as cap and trade systems by placing limits on how much pollutants certain emitters are allowed to release for a specified period of time,green finance,carbon' 'emissions' 'blockchains',green finance,Climate Policy' 'Environmental Sustainability' 'Cyber Security',
"cop26, cop27, paris Agreement",ethic and reg,What role does COP26 and COP27 play with regulating co-operative approaches from countries towards achieving objectives set out under the Paris Agreement?,"Decisions made at both COP26 in Glasgow 2021, and COP27 in Sharm el Sheikh, Egypt seek to build on rules for how cooperative approaches should be applied by countries towards achieving objectives set out under the Paris Agreement",green finance,carbon',green finance,Climate Policy',
VCM,ethic and reg,What has been causing hesitancy amongst potential participants involved with VCM ?,Hesitancy amongst many potential market participants involving VCM has been caused by lack of governmental involvement and clear support for VCM itself,green finance,externalities',green finance,Behavioral Externalities',
governments,ethic and reg,Why will governments need create domestic environments that will enable Voluntary Carbon Activities ?,Domestic environments that are enabling voluntary carbon activities need be created so that they may attract investors and capitalise on large potentials associated with VMC particularly within developing countries ,green finance,"carbon' 'sustainable' 'externalities' 'gdp' 'ecology' 'externalities'
 'renewables'",green finance,"Climate Policy' 'Sustainable Cities' 'Sustainable Investing'
 'Macroeconomic Indicators' 'Eco-diversity' 'Behavioral Externalities'
 'Clean Energy'",
"VCL, Paris Settlements, ",ethic and reg,What signals must developed countries send out regarding buyers' involement within VCMs ?,Developed countries must send strong signals demonstrating involvement within VCMs being critical part for meeting climate action requirements aligned with overall objetives stated through settlement agreed upon during Pairs Settlement ,green finance,,green finance,,
Paris Agreement,ethic and reg,How might actions taken by corresponding coutries affect existing mechanisms outlined throught he Paris Agreeement ?,"Uutmost care should be taken when any action concerning correspondence between parties is undertaken , it is imperative such aciton furter both established market mechanisms adn those put forth via Pais Agreemet ",green finance,,green finance,,
Paris mechanisms,ethic and reg,What is the risk posed by emerging Paris mechanisms?,"The risk is that they could supplant and undermine the progress being made in global efforts to decarbonise through the VCM, potentially hampering ongoing investment",green finance,,green finance,,
Paris mechanisms,ethic and reg,How can Paris mechanisms and VCM work together in order to support the Paris objectives?,They should work alongside each other and drive decarbonisation as efficiently and equitably as possible,green finance,,green finance,,
VCM,ethic and reg,What has been done so far to examine their relationship?,"The UK VCM Forum, City of London and Clifford Chance LLP have collaborated in order to examine their interaction",green finance,,green finance,,
vcm,ethic and reg,What recommendations have been given for what can be done by countries/market participants to support both initiatives ?,"Recommendations include continuing to utilise existing VCMs while operationalising new Paris Mechanisms, and recognizing opportunities for convergence between them down the line",green finance,,green finance,,
current state,analysis,What current state are carbon markets currently at ?,Currently there has been considerable progress being made in global efforts towards decarbonising through these markets,green finance,carbon',green finance,Climate Policy',
Paris Agreement,ethic and reg,How do stakeholders aim to consider how Paris Agreements and VCMs interact with eachother ?,Stakeholders are looking into how they can operate cohesively together simultaneously whilst driving towards de-carbonization goals,green finance,externalities',green finance,Sustainable Investing',
VCM,ethic and reg,What were two organizations responsible for examining relation between new Paris mechanisms &existing VCM ?,"The organisations responsible were UKVFM ,City of London & Clifford Chance LLP ",green finance,,green finance,,
VCM,ethic and reg,What further steps may need considering as paris mechanismes&VCM continue developing ?,"Further steps may include exploring additional ways they could complement each other more closely, aswell assessing any risks associated with overlap between both systems",green finance,,green finance,,
what+types +exist,factual,What are the three types of carbon markets that exist today?,"The three types of carbon markets that exist today are those operating under mandatory compliance schemes, those operating under voluntary programmes, and the CDM",green finance,carbon',green finance,Climate Policy',
compliance,ethic and reg,How large is the compliance market in comparison to other carbon markets?,The compliance market is the largest and most mature of the three markets with an estimated market value of over USD$100 billion and an annual trading turnover of over USD$250 billion,green finance,carbon',green finance,Climate Policy',
VCM,ethic and reg,How much was the VCM valued at in 2020?,"In 2020, the VCM had an estimated value of just USD$300 million",green finance,,green finance,,
$,analysis,What State-of-the-VCM briefing published by Ecosystem Marketplace suggests about its size in 2022?,"According to a State-of-the-VCM Briefing published by non-profit Ecosystem Marketplace published in August 2022, it has reached USD$2 billion in 2022 an increase of 60% year on year",green finance,,green finance,,
US$,analysis,How much has the VCM grown by since August 2022?,"According to a State of the VCM Briefing published by non-profit Ecosystem Marketplace in August 2022, it is estimated that the VCM has reached USD$2 billion - an increase of 60% year on year",green finance,emissions',green finance,Environmental Sustainability',
usd$,analysis,What is potential size estimate for VCMs by 2030?,Estimates suggest that the VCM has potential to reach anywhere between USD$5 billion to USd180 billion by 2030,green finance,,green finance,,
Is+ bigger than,analysis,Is CDM bigger or smaller than VCM compared with their respective sizes as seen currently?,Is CDM bigger or smaller than VCM compared with their respective sizes as seen currently?,green finance,,green finance,,
Who,factual,Who publishes State -oftheVCB briefing every year ?,Nonprofit organization called Ecosystem Marketplace publishes StateOf -The -VMB Briefing every year ,green finance,,green finance,,
How much,analysis,How much does compliance Carbon Market trading have annually ?,Compliance Carbon Markets have an annual trading turnover of over USd250 Billion,green finance,carbon',green finance,Climate Policy',
What+aim,strategy,What is the aim of the Voluntary Carbon Markets VCM?,The aim of the VCM is to drive finance to activities that reduce greenhouse gas GHG emissions,green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
How+operated,management,How has the VCM operated over time?,"The VCM has been operating without government intervention for decades and, over time, has evolved and matured into a robust and effective means of tackling climate change by mobilising and redirecting significant investment into projects which deliver independently verified and additional emissions reductions on a global scale",green finance,emissions' 'carbon' 'renewables',green finance,Environmental Sustainability' 'Climate Policy' 'Clean Energy',
Main categories,taxonomies,What are two main categories of carbon projects within the VCM?,The two main categories of carbon projects within the VCM are GHG emissions reduction projects and GHG removal/sequestration projects,green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
type of + approved,ethic and reg,What type of emission reduction project methodology is commonly approved in the VCMs?,The common emission project methodology approved in VCMs at present include improved cookstoves that replace open cooking fires with energy efficient alternatives,green finance,emissions',green finance,Environmental Sustainability',
type of + approved,ethic and reg,What types of GHG removal/sequestration project methods have been approved in VCMs so far?,"The GHG removal/sequestration methodologies most commonly approved in VCMs to date include afforestation & reforestation, coastal wetland creation, tidal wetland & seagrass restoration",green finance,ecology' 'carbon',green finance,Eco-diversity' 'Climate Policy',
laws,ethic and reg,Does developing carbon projects through private local actors require adhering to applicable laws regarding land use consents ?,"Yes ,developing carbon projects through private local actors requires adhering with applicable laws regarding land use consents ",green finance,carbon',green finance,Climate Policy',
regulations,ethic and reg,Are there limits or regulations imposed when using VCMs ?,"No ,the Voluntary Carbon Markets are largely unregulated making them agile and available for everyone ",green finance,carbon',green finance,Climate Policy',
VCMs,ethic and reg,How do VCMS operate differently compared traditional methods used towards tackling climate change ?,VCMS operates decisively by redirecting large investments towards environment friendly initiatives that generate verifiable extra-reductions while being cost-effective compared traditional methods used towards combating climate change,green finance,emissions' 'ecology' 'carbon' 'sustainable',green finance,"Environmental Sustainability' 'Eco-diversity' 'Climate Policy'
 'Sustainable Cities'",
standard,ethic and reg,What is a carbon standard?,"A carbon standard is a private carbon offset crediting organisation which sets out rules, procedures and criteria for designing, developing and verifying GHG emission reductions or removals associated with a project in order to generate carbon credits",green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
"standards, European Union, ",ethic and reg,What are some examples of internationally recognised carbon standards?,"Some examples of internationally recognised carbon standards include Verra, Gold Standard, the American Carbon Registry Standard and Global Carbon Council",green finance,carbon',green finance,Climate Policy',
standards,ethic and reg,What are carbon projects registered with?,Carbon projects are registered with a private carbon offset crediting organisation known as acarbon standard,green finance,carbon',green finance,Climate Policy',
how +obtain,management,How do you obtain carbon credits for a project?,"A project must satisfy the rules and requirements of the applicable carbon standard eg, in respect of project design, validation, monitoring, reporting and verification to be eligible to receive carbon credits issued by that carbon standard for the verified GHG emission reductions achieved by the project",green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
What+necessary,management,What is necessary to ensure high-quality carbon credits?,"To ensure high-quality carbon credits, the carbon standards prescribe core principles and requirements that carbon projects must satisfy which go beyond simply the old environmental adage ofdo no harm",green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
Restrictions+certification,ethic and reg,Are there any restrictions on what can be done after obtaining credit certification?,"Once issued, the owner of those carbon credits is free to deal with them as they wish eg, retire or sell/trade the credit All such retirements and/or sales and transfer of credit certificates are recorded in an electronic registry system maintained by a certified institution like Verra or Gold Standard etc",green finance,carbon',green finance,Climate Policy',
Verified+mechanisms,ethic and reg,Why have early iterations of Verified Carbon Mechanism been subject to criticism for failing to deliver quality results?,"Early iterations lacked internationally recognised standards required for issuing quality verifiable results such as Verra, Gold Standard or American Carbon Registry Standard etc which only came into existence much later during development phase ensuring delivery of quality certified products from then onward ",green finance,carbon',green finance,Climate Policy',
granting approval,ethic and reg,What criteria must be met before granting approval under international recognized standards mentioned above?,rojects must achieve GHG emission removals or reductions thataare additionalbavoid double counting cpermanent dindependently validated & verified &erecorded accurately in registries uniquely identifying each unit thus produced,green finance,carbon',green finance,Climate Policy',
"certification, standard",ethic and reg,What other benefits may accrue upon successful completion/certification under these accepted standards ?,By achieving certification one will benefit from being able to trade /sell off their certificated units onto markets recognizing accepted Quality parameters thus fetching higher prices than those certificated elsewhere ,green finance,,green finance,,
Do no Harm,ethic and reg,Are other factors besides Do No Harm taken into account while granting certifications ?,"Yes ,In addition 'Do No Harm' other important guidelines like avoidance of Double Counting ,Permanence ,additionality & Independently Validated&Verified Units",green finance,,green finance,,
"Taskforce, TSVCM",ethic and reg,What is the purpose of the Taskforce for Scaling Voluntary Carbon Markets TSVCM?,"The TSVCM was established with the aim of defining a blueprint for creating a large-scale, transparent carbon credit trading market that is capable of meeting expected demand driven by the Paris Agreements goals",green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
Integrity Council,ethic and reg,When was the Integrity Council for the Voluntary Carbon Market Integrity Council launched?,The Integrity Council was announced in September 2021 and assumed leadership of TSVCMs ambition to bring greater quality and integrity to the VCM,green finance,,green finance,,
"governing, VXM",ethic and reg,Why has global governing bodies emerged recently as pertains to scaling up VCM with integrity?,Recently global governing bodies have emerged with aiming at providing transparency into carbon credit trading within national & international markets whilst ensuring overall compliance within Paris Agreement's goals & objectives on climate change mitigation efforts globally ,green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
"taskforce,VCM",ethic and reg,How did all parts value chain collaborate with tasksforce ?,All parts of value chain worked together alongside Taskforce so as provide recommended actions intended address most pressing painpoints facing VCM sector,green finance,,green finance,,
"legitimicy, integrity",ethic and reg,Which forum is working towards driving even greater integrity/legitimacy w/in voluntary Carbon Market ?,UK VC Market forum is currently focused on striving towards increasing overall legitimacy /integrity current operations being conducted through voluntary carbon market ,green finance,carbon',green finance,Climate Policy',
integrity Council +taskforce,ethic and reg,What role will Integrity council play within Global taskforce ?,"Integrity Council , newly developed independent governing body will assume leading role over Global taskforces ambition's which center around fostering even higher standards quality /integrity amongst Domestric/International VCMs respectively ",green finance,,green finance,,
"guidance, Governance Board",ethic and reg,How do organizations involved work under guidance prescribed by Governance Board regarding permissible activities boundry set forth through paris agrement ?,Organizations participating must comply regulations guidelines set forth by respective intention council related any endeavors taking place boundries deemed acceptable when measured against standards outlined Paris agreement's primary objectives relating Climate Change Mitigation,green finance,,green finance,,
VCM,ethic and reg,What is the true advantage of VCM in this post-Paris era?,"The true advantage of the VCM, in this post-Paris era, is that it is operational and can be scaled up significantly and at speed to deliver on the Paris objectives whilst the Paris-specific mechanisms find their footing",green finance,,green finance,,
"IIF, Institute of International Finance ",ethic and reg,What estimates has the Institute of International Finance made regarding expansion of carbon markets?,The Institute of International Finance IIF estimates that markets to buy and sell carbon are expanding rapidly around the world and have potential to address more than half of all GHG emissions by 2030,green finance,carbon' 'emissions',green finance,Climate Policy' 'Environmental Sustainability',
